Fecha,Recurso,Precio de Oferta Declarado $/kWh,Capacidad Efectiva Neta (MW)
2017-01-01,ALBAN,290,429
2017-01-01,BETANIA,57.07706,540
2017-01-01,CALIMA,294.5,132
2017-01-01,CHIVOR,88.999,1000
2017-01-01,EL QUIMBO,300,400
2017-01-01,GUATAPE,57.07702,560
2017-01-01,GUATRON,160,512
2017-01-01,GUAVIO,83,1250
2017-01-01,JAGUAS,57.07701,170
2017-01-01,LA TASAJERA,57.077,306
2017-01-01,MIEL I,57.07704,396
2017-01-01,PAGUA,200,600
2017-01-01,PLAYAS,57.07705,207
2017-01-01,PORCE II,74,405
2017-01-01,PORCE III,150,700
2017-01-01,PRADO,155,51
2017-01-01,SALVAJINA,294,315
2017-01-01,SAN CARLOS,57.07703,1240
2017-01-01,SOGAMOSO,79,819
2017-01-01,URRA,57.078,338
2017-01-02,ALBAN,100,429
2017-01-02,BETANIA,90,540
2017-01-02,CALIMA,294.5,132
2017-01-02,CHIVOR,57.07703,1000
2017-01-02,EL QUIMBO,200,400
2017-01-02,GUATAPE,57.07701,560
2017-01-02,GUATRON,160,512
2017-01-02,GUAVIO,57.07705,1250
2017-01-02,JAGUAS,57.07704,170
2017-01-02,LA TASAJERA,57.07706,306
2017-01-02,MIEL I,57.07702,396
2017-01-02,PAGUA,200.00001,600
2017-01-02,PLAYAS,57.077,207
2017-01-02,PORCE II,74,405
2017-01-02,PORCE III,78,700
2017-01-02,PRADO,120,51
2017-01-02,SALVAJINA,294,315
2017-01-02,SAN CARLOS,85,1240
2017-01-02,SOGAMOSO,65,819
2017-01-02,URRA,57.078,338
2017-01-03,ALBAN,80.00001,429
2017-01-03,BETANIA,57.07705,540
2017-01-03,CALIMA,294.5,132
2017-01-03,CHIVOR,57.07701,1000
2017-01-03,EL QUIMBO,57.07704,400
2017-01-03,GUATAPE,57.07708,560
2017-01-03,GUATRON,160,512
2017-01-03,GUAVIO,80,1250
2017-01-03,JAGUAS,110,170
2017-01-03,LA TASAJERA,57.07702,306
2017-01-03,MIEL I,57.07706,396
2017-01-03,PAGUA,200,600
2017-01-03,PLAYAS,57.07709,207
2017-01-03,PORCE II,57.07703,405
2017-01-03,PORCE III,78,700
2017-01-03,PRADO,120,51
2017-01-03,SALVAJINA,294,315
2017-01-03,SAN CARLOS,57.07707,1240
2017-01-03,SOGAMOSO,65,819
2017-01-03,URRA,57.077,338
2017-01-04,ALBAN,70,429
2017-01-04,BETANIA,200.00001,540
2017-01-04,CALIMA,294.5,132
2017-01-04,CHIVOR,57.07701,1000
2017-01-04,EL QUIMBO,57.077,400
2017-01-04,GUATAPE,57.07705,560
2017-01-04,GUATRON,69,512
2017-01-04,GUAVIO,57.07708,1250
2017-01-04,JAGUAS,110,170
2017-01-04,LA TASAJERA,57.07703,306
2017-01-04,MIEL I,57.07704,396
2017-01-04,PAGUA,200,600
2017-01-04,PLAYAS,57.07702,207
2017-01-04,PORCE II,160,405
2017-01-04,PORCE III,85,700
2017-01-04,PRADO,150,51
2017-01-04,SALVAJINA,294,315
2017-01-04,SAN CARLOS,57.07706,1240
2017-01-04,SOGAMOSO,65,819
2017-01-04,URRA,57.07707,338
2017-01-05,ALBAN,57.244,429
2017-01-05,BETANIA,57.07701,540
2017-01-05,CALIMA,294.5,132
2017-01-05,CHIVOR,57.07702,1000
2017-01-05,EL QUIMBO,57.07704,400
2017-01-05,GUATAPE,57.205,560
2017-01-05,GUATRON,120.00001,512
2017-01-05,GUAVIO,57.077,1250
2017-01-05,JAGUAS,75,170
2017-01-05,LA TASAJERA,57.20502,306
2017-01-05,MIEL I,57.20504,396
2017-01-05,PAGUA,300,600
2017-01-05,PLAYAS,57.20503,207
2017-01-05,PORCE II,160,405
2017-01-05,PORCE III,57.20501,700
2017-01-05,PRADO,105,51
2017-01-05,SALVAJINA,294,315
2017-01-05,SAN CARLOS,120,1240
2017-01-05,SOGAMOSO,61.00001,819
2017-01-05,URRA,57.07703,338
2017-01-06,ALBAN,57.244,429
2017-01-06,BETANIA,57.07702,540
2017-01-06,CALIMA,294.5,132
2017-01-06,CHIVOR,57.24603,1000
2017-01-06,EL QUIMBO,57.077,400
2017-01-06,GUATAPE,57.24602,560
2017-01-06,GUATRON,60,512
2017-01-06,GUAVIO,82.1,1250
