Fecha,Nombre Embalse,Volumen Útil Diario Energía kWh,Volumen Máximo Util Gwh
2017-01-01,AMANI,239250900,246.13
2017-01-01,MIRAFLORES,262356900,313.1
2017-01-01,PENOL,3660319800,4078.46
2017-01-01,PLAYAS,104566800,96.35
2017-01-01,PORCE II,94036400,130.14
2017-01-01,PORCE III,82248700,117.29
2017-01-01,PUNCHINA,35842000,65.12
2017-01-01,RIOGRANDE2,449937300,560.59
2017-01-01,SAN LORENZO,403996900,422.91
2017-01-01,TRONERAS,37224400,71
2017-01-01,URRA1,152956600,158.45
2017-01-01,AGREGADO BOGOTA,1571512500,3763.5
2017-01-01,BETANIA,90798700,124.66
2017-01-01,EL QUIMBO,688605100,1113.81
2017-01-01,MUNA,23294200,57.6
2017-01-01,PRADO,56462300,57.2
2017-01-01,TOPOCORO,932448000,1003.3
2017-01-01,CHUZA,872055300,980.6
2017-01-01,ESMERALDA,938876100,1112.97
2017-01-01,GUAVIO,1610927000,2091.46
2017-01-01,ALTOANCHICAYA,13021500,36.88
2017-01-01,CALIMA1,131401100,217.04
2017-01-01,SALVAJINA,140729400,171.82
2017-01-02,AMANI,237193300,246.13
2017-01-02,MIRAFLORES,263817300,313.1
2017-01-02,PENOL,3659176800,4078.46
2017-01-02,PLAYAS,104748100,96.35
2017-01-02,PORCE II,86730900,130.14
2017-01-02,PORCE III,82906300,117.29
2017-01-02,PUNCHINA,45488800,65.12
2017-01-02,RIOGRANDE2,442659900,560.59
2017-01-02,SAN LORENZO,394264900,422.91
2017-01-02,TRONERAS,45893800,71
2017-01-02,URRA1,152105200,158.45
2017-01-02,AGREGADO BOGOTA,1570624000,3763.5
2017-01-02,BETANIA,94307500,124.66
2017-01-02,EL QUIMBO,694866900,1113.81
2017-01-02,MUNA,26839000,57.6
2017-01-02,PRADO,56673100,57.2
2017-01-02,TOPOCORO,926834400,1003.3
2017-01-02,CHUZA,869049200,980.6
2017-01-02,ESMERALDA,930572900,1112.97
2017-01-02,GUAVIO,1589662300,2091.46
2017-01-02,ALTOANCHICAYA,17078400,36.88
2017-01-02,CALIMA1,132027800,217.04
2017-01-02,SALVAJINA,140308200,171.82
2017-01-03,AMANI,233701000,246.13
2017-01-03,MIRAFLORES,264229500,313.1
2017-01-03,PENOL,3642141300,4078.46
2017-01-03,PLAYAS,101507900,96.35
2017-01-03,PORCE II,71718500,130.14
2017-01-03,PORCE III,89055600,117.29
2017-01-03,PUNCHINA,33354400,65.12
2017-01-03,RIOGRANDE2,438748700,560.59
2017-01-03,SAN LORENZO,400199100,422.91
2017-01-03,TRONERAS,54128600,71
2017-01-03,URRA1,151914300,158.45
2017-01-03,AGREGADO BOGOTA,1569307400,3763.5
2017-01-03,BETANIA,89594300,124.66
2017-01-03,EL QUIMBO,688900800,1113.81
2017-01-03,MUNA,26562800,57.6
2017-01-03,PRADO,,57.2
2017-01-03,TOPOCORO,920496000,1003.3
2017-01-03,CHUZA,866052300,980.6
2017-01-03,ESMERALDA,927293800,1112.97
2017-01-03,GUAVIO,1580896700,2091.46
2017-01-03,ALTOANCHICAYA,20962700,36.88
2017-01-03,CALIMA1,132478500,217.04
2017-01-03,SALVAJINA,140518800,171.82
2017-01-04,AMANI,232972500,246.13
2017-01-04,MIRAFLORES,265485300,313.1
2017-01-04,PENOL,3622730200,4078.46
2017-01-04,PLAYAS,101098500,96.35
2017-01-04,PORCE II,80392100,130.14
2017-01-04,PORCE III,85482000,117.29
2017-01-04,PUNCHINA,18368400,65.12
2017-01-04,RIOGRANDE2,435580100,560.59
2017-01-04,SAN LORENZO,405078300,422.91
2017-01-04,TRONERAS,53077300,71
2017-01-04,URRA1,151871700,158.45
2017-01-04,AGREGADO BOGOTA,1562747300,3763.5
2017-01-04,BETANIA,94574600,124.66
2017-01-04,EL QUIMBO,681446800,1113.81
2017-01-04,MUNA,28358200,57.6
2017-01-04,PRADO,56937900,57.2
2017-01-04,TOPOCORO,914414900,1003.3
2017-01-04,CHUZA,862806700,980.6
2017-01-04,ESMERALDA,923823000,1112.97
2017-01-04,GUAVIO,1558946000,2091.46
2017-01-04,ALTOANCHICAYA,23724800,36.88
2017-01-04,CALIMA1,134187900,217.04
2017-01-04,SALVAJINA,141787900,171.82
2017-01-05,AMANI,230547900,246.13
2017-01-05,MIRAFLORES,266114800,313.1
2017-01-05,PENOL,3609091200,4078.46
2017-01-05,PLAYAS,106740600,96.35
2017-01-05,PORCE II,94406300,130.14
2017-01-05,PORCE III,68352000,117.29
2017-01-05,PUNCHINA,33475800,65.12
2017-01-05,RIOGRANDE2,431555500,560.59
2017-01-05,SAN LORENZO,401280400,422.91
2017-01-05,TRONERAS,61765800,71
2017-01-05,URRA1,151697600,158.45
2017-01-05,AGREGADO BOGOTA,1561435200,3763.5
2017-01-05,BETANIA,90110200,124.66
2017-01-05,EL QUIMBO,672800400,1113.81
2017-01-05,MUNA,30936200,57.6
2017-01-05,PRADO,57308100,57.2
2017-01-05,TOPOCORO,909801600,1003.3
2017-01-05,CHUZA,859570400,980.6
2017-01-05,ESMERALDA,915021200,1112.97
2017-01-05,GUAVIO,1545500600,2091.46
